,,,Display Value,Stored Value,,,
Carson City District - BLM,CCD,,Amador - El Dorado CAL FIRE,AEU,,,
Bakersfield District - BLM (retired code),BBD,,Angeles National Forest,ANF,,,
City of Weed Vol. Fire Dept.,WED,,Bakersfield District - BLM (retired code),BBD,,,
San Diego CAL FIRE (retired code),MVU,,Battle Mountain District,BMD,,,CCD
Central CA District - BLM,CND,,Beale Air Force Base FD,BEA,,,BBD
Fort Yuma Agency,FYA,,Bitter Creek National Wildlife Refuge,BRR,,,WED
Beale Air Force Base FD,BEA,,Butte CAL FIRE,BTU,,,MVU
Golden Gate National Recreation Area - NPS,GNP,,CA Desert District - BLM,CDD,,,CND
Sequoia - Kings Canyon NP,KNP,,Camp Pendleton Marine Corps Base,MCP,,,FYA
Fremont National Forest,FNF,,Camp Roberts Military Base,CRB,,,BEA
Siskiyou National Forest,SIF,,Carson City District - BLM,CCD,,,GNP
Colorado River District,CRD,,Central CA District - BLM,CND,,,KNP
Northern CA District - BLM,NOD,,Channel Islands - NPS,CNP,,,FNF
Colorado River Agency,CRA,,City of Weed Vol. Fire Dept.,WED,,,SIF
Lakeview District,LAD,,Clear Lake National Wildlife Refuge,CLR,,,CRD
CA Desert District - BLM,CDD,,Cleveland National Forest,CNF,,,NOD
Orange County,ORC,,Colorado River Agency,CRA,,,CRA
Mojave - NPS,MNP,,Colorado River District,CRD,,,LAD
San Diego CAL FIRE,SDU,,Coos Bay District,CBD,,,CDD
Toiyabe National Forest,TOI,,Death Valley NP,DVP,,,ORC
,,,Delevan National Wildlife Refuge,DLR,,,MNP
,,,Don Edwards San Francisco Bay National Wildlife Refuge,FWR,,,SDU
,,,Eldorado National Forest,ENF,,,TOI
,,,Ellicott Slough National Wildlife Refuge,ESR,,,
,,,Fort Hunter Liggett,FHL,,,
,,,Fort Yuma Agency,FYA,,,
,,,Fremont National Forest,FNF,,,
,,,Fresno-Kings CAL FIRE,FKU,,,
,,,Golden Gate National Recreation Area - NPS,GNP,,,
,,,Hoopa Valley Tribe,HIA,,,
,,,Hopper Mountain National Wildlife Refuge,HPR,,,
,,,Humboldt-Toiyabe National Forest,HTF,,,
,,,Humboldt - Del Norte CAL FIRE,HUU,,,
,,,Inyo National Forest,INF,,,
,,,Joshua Tree NP,JTP,,,
,,,Kern County,KRN,,,
,,,Kern National Wildlife Refuge,KRR,,,
,,,Klamath National Forest,KNF,,,
,,,Lake Tahoe Basin Management Unit,TMU,,,
,,,Lakeview District,LAD,,,
,,,Lassen - Modoc CAL FIRE,LMU,,,
,,,Lassen National Forest,LNF,,,
,,,Lassen Volcanic NP,LNP,,,
,,,Lava Beds National Monument,BNP,,,
,,,Linda Fire Department,LFD,,,
,,,Los Angeles City FD,LDF,,,
,,,Los Angeles County,LAC,,,
,,,Los Padres National Forest,LPF,,,
,,,Lower Klamath National Wildlife Refuge,LKR,,,
,,,Madera - Mariposa CAL FIRE,MMU,,,
,,,Marin County,MRN,,,
,,,Medford District,MED,,,
,,,Mendocino CAL FIRE,MEU,,,
,,,Mendocino National Forest,MNF,,,
,,,Merced National Wildlife Refuge,MCR,,,
,,,Modoc National Forest,MDF,,,
,,,Modoc National Wildlife Refuge,MDR,,,
,,,Mojave - NPS,MNP,,,
,,,Monterey - San Benito CAL FIRE,BEU,,,
,,,Naval Weapons Station,TNT,,,
,,,Nevada - Yuba - Placer CAL FIRE,NEU,,,
,,,Northern CA District - BLM,NOD,,,
,,,Orange County,ORC,,,
,,,Pinnacles National Park,PIP,,,
,,,Pixley National Wildlife Refuge,PLR,,,
,,,Plumas National Forest,PNF,,,
,,,Point Reyes National Seashore,RNP,,,
,,,Redwood National and State Parks,RWP,,,
,,,Riverside CAL FIRE,RRU,,,
,,,Rogue River - Siskiyou NF,RRS,,,
,,,Sacramento National Wildlife Refuge,SWR,,,
,,,Sacramento River National Wildlife Refuge,SRR,,,
,,,San Bernardino CAL FIRE,BDU,,,
,,,San Bernardino National Forest,BDF,,,
,,,San Diego Bay National Wildlife Refuge,DBR,,,
,,,San Diego CAL FIRE,SDU,,,
,,,San Diego CAL FIRE (retired code),MVU,,,
,,,San Diego National Wildlife Refuge,TNR,,,
,,,San Joaquin River National Wildlife Refuge,SJR,,,
,,,San Luis National Wildlife Refuge,LUR,,,
,,,San Luis Obispo CAL FIRE,SLU,,,
,,,San Mateo - Santa Cruz CAL FIRE,CZU,,,
,,,San Pablo Bay National Wildlife Refuge,SPR,,,
,,,Santa Barbara County,SBC,,,
,,,Santa Clara CAL FIRE,SCU,,,
,,,Santa Monica Mtns National Recreation Area,SMP,,,
,,,Sequoia - Kings Canyon NP,KNP,,,
,,,Sequoia National Forest,SQF,,,
,,,Shasta-Trinity National Forest,SHF,,,
,,,Shasta - Trinity CAL FIRE,SHU,,,
,,,Sierra National Forest,SNF,,,
,,,Siskiyou CAL FIRE,SKU,,,
,,,Siskiyou National Forest,SIF,,,
,,,Six Rivers National Forest,SRF,,,
,,,Sonny Bono Salton Sea National Wildlife Refuge,SOR,,,
,,,Sonoma - Lake - Napa CAL FIRE,LNU,,,
,,,Sonoma CDF (retired code),SNU,,,
,,,Southern California Agency,SCA,,,
,,,Southern Nevada District,SND,,,
,,,Stanislaus National Forest,STF,,,
,,,Stone Lakes National Wildlife Refuge,SKR,,,
,,,Sutter National Wildlife Refuge,STR,,,
,,,Tahoe National Forest,TNF,,,
,,,Tehama - Glenn CAL FIRE,TGU,,,
,,,Toiyabe National Forest,TOI,,,
,,,Tulare CAL FIRE,TUU,,,
,,,Tule Lake National Wildlife Refuge,TKR,,,
,,,Tule River Agency,TIA,,,
,,,Tuolumne - Calaveras CAL FIRE,TCU,,,
,,,Vallejo Fire Dept.,VLJ,,,
,,,Vandenberg Air Force Base,AFV,,,
,,,Ventura County,VNC,,,
,,,Whiskeytown National Recreation Area,WNP,,,
,,,Yosemite National Park,YNP,,,
